county,areacode,village,number,name,address,administration,latitude,longitude,grade,type2,type,exec,diaper
65000,65000020,五常里,F020001354,五常公園-女廁,新北市三重區五常里五華街7巷,新北市三重區公所,25.08086600,121.49656800,特優級,公園,女廁所,新北市三重區公所經建課,0
65000,65000020,五常里,F020001356,三重五常圖書館2F-男廁,新北市三重區五常里五華街7巷30號,新北市政府文化局,25.08086600,121.49656800,特優級,文化育樂活動場所,男廁所,新北市立圖書館三重五常分館,0
65000,65000020,五谷里,F020001626,中油重新路加油站-男廁,新北市三重區五谷里重新路5段495號,台灣中油股份有限公司,25.04687100,121.47242900,特優級,商業營業場所,男廁所,台灣中油股份有限公司重新路加油站,0
65000,65000020,五谷里,F020001652,珍豪大飯店-男廁,新北市三重區五谷里光復路1段67號,珍豪餐飲事業有限公司,25.04936400,121.47217600,特優級,其他,男廁所,珍豪大飯店,0
65000,65000030,中原里,F030000003,中油積穗加油站-女廁,新北市中和區中原里中山路2段550號,台灣中油股份有限公司,25.00513400,121.48365800,特優級,商業營業場所,女廁所,台灣中油股份有限公司積穗加油站,0
65000,65000030,中原里,F030000005,中油橋和加油站-女廁,新北市中和區中原里橋和路126號,華中橋加油站股份有限公司,25.00592500,121.49306900,特優級,商業營業場所,女廁所,中油橋和加油站,0
65000,65000030,連和里,F030000075,中油華中橋加油站-男廁,新北市中和區連和里連城路96號,華中橋加油站股份有限公司,25.00005300,121.49639400,特優級,商業營業場所,男廁所,中油華中橋加油站,0
65000,65000030,連和里,F030000080,家樂福中和店B1-男廁,新北市中和區連和里中山路2段295號,家福股份有限公司,25.00194700,121.49644900,特優級,商業營業場所,男廁所,家福股份有限公司中和分公司安全課,1
65000,65000030,連和里,F030000095,威力購物廣場4F-女廁,新北市中和區連和里中山路2段291號,威力購物廣場管理中心,25.00204400,121.49582000,特優級,商業營業場所,女廁所,威力購物廣場管理中心物管部,0
65000,65000030,連和里,F030000097,威力購物廣場5F-女廁,新北市中和區連和里中山路2段291號,威力購物廣場管理中心,25.00204400,121.49582000,特優級,商業營業場所,女廁所,威力購物廣場管理中心物管部,1
67000,67000250,南化里,D250000009,南化區衛生所混合廁,臺南市南化區南化村南化２２６之１號,臺南市政府衛生局,23.04453100,120.47930600,特優級,民眾洽公場所,混合廁所,南化區衛生所,0
67000,67000270,仁德里,D270000065,仁德區公所1F男廁,臺南市仁德區仁德村中正路三段5號,仁德區公所,22.97243400,120.25168100,特優級,民眾洽公場所,男廁所,仁德區公所,0
67000,67000270,仁德里,D270000066,仁德區公所1F女廁,臺南市仁德區仁德村中正路三段5號,仁德區公所,22.97243400,120.25168100,特優級,民眾洽公場所,女廁所,仁德區公所,0
67000,67000280,許厝里,D280000107,歸仁文化中心行政大樓2F男廁,臺南市歸仁區許厝村信義南路78號,臺南市政府文化局,22.96410300,120.29805900,特優級,文化育樂活動場所,男廁所,臺南市政府文化局,0
67000,67000280,許厝里,D280000108,歸仁文化中心行政大樓2F女廁,臺南市歸仁區許厝村信義南路78號,臺南市政府文化局,22.96410300,120.29805900,特優級,文化育樂活動場所,女廁所,臺南市政府文化局,0
67000,67000300,崎頂里,D300000012,龍崎區公所2F女廁,臺南市龍崎區崎頂村新市子１０３號,龍崎區公所,22.96321000,120.36500900,特優級,民眾洽公場所,女廁所,龍崎區公所,0
67000,67000310,永康里,D310000034,永康區公所1F性別友善廁,臺南市永康區永康里中山南路６５５號,永康區公所,23.02636200,120.25697400,特優級,民眾洽公場所,性別友善廁所,永康區公所,0
65000,65000020,文化里,F020000842,肯德基三重重新店2F-女廁,新北市三重區文化里重新路2段1-1號,富利餐飲股份有限公司,25.06301000,121.49947600,特優級,商業營業場所,女廁所,富利餐飲股份有限公司,0
65000,65000020,承德里,F020001058,三德閱覽室2F-女廁,新北市三重區承德里龍門路274巷36號,新北市三重區公所,25.07512300,121.50113600,特優級,文化育樂活動場所,女廁所,新北市三重區公所民政課,0
65000,65000020,承德里,F020001059,三德公園-男廁,新北市三重區承德里仁昌街109號,新北市三重區公所,25.07508900,121.50102100,特優級,公園,男廁所,新北市三重區公所經建課,0
65000,65000020,溪美里,F020001329,台亞自強加油站-男廁,新北市三重區溪美里自強路4段96號,台亞石油股份有限公司,25.07953500,121.49100700,優等級,商業營業場所,男廁所,台亞石油股份有限公司三重自強路站,0
65000,65000020,溪美里,F020001330,台亞自強加油站-女廁,新北市三重區溪美里自強路4段96號,台亞石油股份有限公司,25.07953500,121.49100700,特優級,商業營業場所,女廁所,台亞石油股份有限公司三重自強路站,0
65000,65000020,慈化里,F020001428,三重東區圖書館1F-無障礙廁所,新北市三重區慈化里溪尾街303號,新北市政府文化局,25.08357200,121.48761000,特優級,文化育樂活動場所,無障礙廁所,新北市立圖書館三重東區分館,0
65000,65000020,五華里,F020001442,麥當勞三重五華店2F-男廁,新北市三重區五華里五華街85-1號,台灣麥當勞餐廰股份有限公司,25.08323200,121.49208900,特優級,商業營業場所,男廁所,和德昌股份有限公司,0
65000,65000020,永發里,F020001662,中油車容坊三重站-男廁,新北市三重區永發里中正北路237號,車容坊股份有限公司,25.07089643,121.47573754,特優級,商業營業場所,男廁所,車容坊股份有限公司三重站,0
65000,65000020,大有里,F020001663,中油車容坊三重站-女廁,新北市三重區大有里中正北路237號,車容坊股份有限公司,25.07065800,121.47560100,特優級,商業營業場所,女廁所,車容坊股份有限公司三重站,0
65000,65000020,福隆里,F020001346,中油楓林加油站-男廁,新北市三重區福隆里仁美街2號,楓林加油站股份有限公司,25.07696500,121.48890300,特優級,商業營業場所,男廁所,台灣中油股份有限公司楓林加油站,0
65000,65000020,慈化里,F020001426,三重東區圖書館B1-男廁,新北市三重區慈化里溪尾街303號,新北市政府文化局,25.08357200,121.48761000,特優級,文化育樂活動場所,男廁所,新北市立圖書館三重東區分館,0
65000,65000020,五谷里,F020001653,珍豪大飯店-女廁,新北市三重區五谷里光復路1段67號,珍豪餐飲事業有限公司,25.04936400,121.47217600,特優級,其他,女廁所,珍豪大飯店,1
65000,65000020,永吉里,F020001661,三重玄武宮-混合廁所,新北市三重區永吉里車路頭街109巷1號,三重玄武宮,25.07456000,121.48449300,特優級,宗教禮儀場所,混合廁所,三重玄武宮,0
65000,65000030,中原里,F030000007,中油嘉尤加油站-女廁,新北市中和區中原里橋和路241號,竣鴻開發股份有限公司,25.00691700,121.49432500,特優級,商業營業場所,女廁所,中油嘉尤加油站,0
65000,65000030,平河里,F030000062,中油嘉樂福加油站-男廁,新北市中和區平河里建八路1號,台灣中油股份有限公司嘉樂福加油站,24.99875400,121.48560700,優等級,商業營業場所,男廁所,台灣中油股份有限公司嘉樂福加油站,0
65000,65000030,連和里,F030000083,家樂福中和店B3-女廁,新北市中和區連和里中山路2段295號,家福股份有限公司,25.00194700,121.49644900,特優級,商業營業場所,女廁所,家福股份有限公司中和分公司安全課,0
65000,65000030,連和里,F030000092,威力購物廣場3F-男廁,新北市中和區連和里中山路2段291號,威力購物廣場管理中心,25.00204400,121.49582000,特優級,商業營業場所,男廁所,威力購物廣場管理中心物管部,0
65000,65000030,漳和里,F030000259,中和市民活動中心2F-女廁,新北市中和區漳和里中和路74號,新北市中和區公所,25.00050800,121.50091400,特優級,社福機構、集會場所,女廁所,新北市中和區公所人文課,0
65000,65000030,福善里,F030000303,大潤發中和店1F-男廁,新北市中和區福善里中山路2段228號,潤泰全球股份有限公司,25.00288100,121.49920700,特優級,商業營業場所,男廁所,潤泰全球股份有限公司中和分公司,0
65000,65000030,福善里,F030000305,大潤發中和店B1-男廁,新北市中和區福善里中山路2段228號,潤泰全球股份有限公司,25.00288100,121.49920700,特優級,商業營業場所,男廁所,潤泰全球股份有限公司中和分公司,0
65000,65000030,泰安里,F030000360,中油中和加油站-女廁,新北市中和區泰安里中和路260號,台灣中油股份有限公司,24.99938300,121.50783100,特優級,商業營業場所,女廁所,台灣中油股份有限公司中和站,0
65000,65000030,秀福里,F030000407,秀山公園(公7)-女廁,新北市中和區秀福里自立路15巷12號,新北市中和區公所,24.99554400,121.52328300,特優級,公園,女廁所,新北市中和區公所經建課,0
65000,65000030,秀明里,F030000413,大潤發中和景平店B1-女廁,新北市中和區秀明里景平路182號,大潤發流通事業股份有限公司,24.99255600,121.51638000,特優級,商業營業場所,女廁所,大潤發流通事業股份有限公司中和分公司,0
65000,65000030,景文里,F030000660,捷運景安站1F-男廁,新北市中和區景文里景平路486號,臺北大眾捷運股份有限公司,24.99391400,121.50495400,特優級,交通,男廁所,台北大眾捷運股份有限公司,1
65000,65000030,錦昌里,F030000674,中和圓通禪寺東側-男廁,新北市中和區錦昌里圓通路367巷64號,中和圓通禪寺,24.98260000,121.49297400,特優級,宗教禮儀場所,男廁所,中和圓通襌寺,0
65000,65000030,連和里,F030000084,COSTCO中和店-男廁,新北市中和區連和里中山路二段347號,好市多股份有限公司,25.00221700,121.49197800,特優級,商業營業場所,男廁所,好市多股份有限公司,0
65000,65000030,連和里,F030000091,威力購物廣場2F-女廁,新北市中和區連和里中山路2段291號,威力購物廣場管理中心,25.00204400,121.49582000,特優級,商業營業場所,女廁所,威力購物廣場管理中心物管部,0
65000,65000030,連和里,F030000093,威力購物廣場3F-女廁,新北市中和區連和里中山路2段291號,威力購物廣場管理中心,25.00204400,121.49582000,特優級,商業營業場所,女廁所,威力購物廣場管理中心物管部,0
65000,65000030,漳和里,F030000234,中和國小地下停車場B1-男廁,新北市中和區漳和里景平路632-8號,新北市政府交通局,24.99921400,121.50066700,特優級,交通,男廁所,大日開發有限公司,0
65000,65000030,漳和里,F030000261,中和區公所1F-男廁,新北市中和區漳和里景平路634-2號,新北市中和區公所,24.99845600,121.50091400,特優級,民眾洽公場所,男廁所,新北市中和區公所秘書室,1
65000,65000030,東南里,F030000504,麥當勞中和興南店-1F男廁,新北市中和區東南里興南路1段83號,台灣麥當勞餐廳股份有限公司,24.98874500,121.50982300,特優級,商業營業場所,男廁所,台灣麥當勞餐廳股份有限公司中和興南分公司,0
65000,65000030,東南里,F030000506,肯德基中和興南店1F-混合廁所,新北市中和區東南里興南路1段79號,怡和餐飲股份有限公司,24.98874500,121.50982300,特優級,商業營業場所,混合廁所,怡和餐飲股份有限公司中和興南分公司,0
65000,65000030,外南里,F030000611,中和區圖書館6F-女廁,新北市中和區外南里南山路236號,新北市政府文化局,24.98969400,121.50645600,特優級,文化育樂活動場所,女廁所,新北市立圖書館中和分館,0
67000,67000270,仁德里,D270000063,仁德區衛生所1F性別友善廁,臺南市仁德區仁德村中山路606巷2號,臺南市政府衛生局,22.97271300,120.25147500,特優級,民眾洽公場所,性別友善廁所,仁德區衛生所,0
67000,67000270,仁德里,D270000068,仁德區公所2F左側女廁,臺南市仁德區仁德村中正路三段5號,仁德區公所,22.97243400,120.25168100,特優級,民眾洽公場所,女廁所,仁德區公所,0
67000,67000270,仁德里,D270000070,仁德區公所3F左側女廁,臺南市仁德區仁德村中正路三段5號,仁德區公所,22.97243400,120.25168100,特優級,民眾洽公場所,女廁所,仁德區公所,0
67000,67000290,山西里,D290000012,關廟區衛生所1F混合廁,臺南市關廟區山西村中正路１０００號,臺南市政府衛生局,22.96300300,120.32728800,特優級,民眾洽公場所,混合廁所,關廟區衛生所,0
67000,67000300,崎頂里,D300000013,龍崎區公所1F男廁,臺南市龍崎區崎頂村新市子１０３號,龍崎區公所,22.96321000,120.36500900,特優級,民眾洽公場所,男廁所,龍崎區公所,0
67000,67000300,崎頂里,D300000011,龍崎區公所2F男廁,臺南市龍崎區崎頂村新市子１０３號,龍崎區公所,22.96321000,120.36500900,特優級,民眾洽公場所,男廁所,龍崎區公所,0
67000,67000310,永康里,D310000037,永康區公所2F女廁,臺南市永康區永康里中山南路６５５號,永康區公所,23.02636200,120.25697400,特優級,民眾洽公場所,女廁所,永康區公所,0
65000,65000020,六合里,F020001013,三張公園-女廁,新北市三重區六合里三張街與大智街口,新北市三重區公所,25.07044940,121.48953080,特優級,公園,女廁所,新北市三重區公所經建課,1
65000,65000020,崇德里,F020001069,三重玄峰慈惠堂-男廁,新北市三重區崇德里仁愛街77號,三重玄峰慈惠堂,25.07306800,121.49619800,特優級,宗教禮儀場所,男廁所,三重玄峰慈惠堂,0
65000,65000020,尚德里,F020001076,中油重陽加油站-男廁,新北市三重區尚德里忠孝路1段1號,重陽橋加油站股份有限公司,25.07183100,121.49256300,特優級,商業營業場所,男廁所,台灣中油股份有限公司重陽加油站,0
65000,65000020,慈生里,F020001400,肯德基三重三和店2F-女廁,新北市三重區慈生里三和路4段193號,怡和餐飲股份有限公司,25.07922900,121.48220300,特優級,商業營業場所,女廁所,富利餐飲股份有限公司三重三和店,0
65000,65000020,慈化里,F020001427,三重東區圖書館B1-女廁,新北市三重區慈化里溪尾街303號,新北市政府文化局,25.08357200,121.48761000,特優級,文化育樂活動場所,女廁所,新北市立圖書館三重東區分館,0
65000,65000020,五華里,F020001443,麥當勞三重五華店2F-女廁,新北市三重區五華里五華街85-1號,台灣麥當勞餐廰股份有限公司,25.08323200,121.49208900,特優級,商業營業場所,女廁所,和德昌股份有限公司,0
65000,65000030,中原里,F030000006,中油嘉尤加油站-男廁,新北市中和區中原里橋和路241號,竣鴻開發股份有限公司,25.00691700,121.49432500,特優級,商業營業場所,男廁所,中油嘉尤加油站,0
65000,65000030,平河里,F030000063,中油嘉樂福加油站-女廁,新北市中和區平河里建八路2號,台灣中油股份有限公司嘉樂福加油站,24.99875400,121.48560700,優等級,商業營業場所,女廁所,台灣中油股份有限公司嘉樂福加油站,0
65000,65000030,連和里,F030000100,威力購物廣場7F-男廁,新北市中和區連和里中山路2段291號,威力購物廣場管理中心,25.00204400,121.49582000,特優級,商業營業場所,男廁所,威力購物廣場管理中心物管部,0
65000,65000030,連和里,F030000102,威力購物廣場10F-男廁,新北市中和區連和里中山路二段291號,威力購物廣場管理中心,25.00204400,121.49582000,特優級,商業營業場所,男廁所,威力購物廣場管理中心,0
65000,65000030,漳和里,F030000199,全宏加油站二站-女廁,新北市中和區漳和里中和路212號,"台灣中油股份有限公司 全宏二站",24.99949300,121.50574300,優等級,商業營業場所,女廁所,"台灣中油股份有限公司 全宏二站",0
65000,65000030,漳和里,F030000201,中和枋寮市場1F-女廁,新北市中和區漳和里中和路74號,新北市政府市場處,25.00050800,121.50091400,優等級,商業營業場所,女廁所,新北市政府市場處,0
65000,65000030,福善里,F030000307,大潤發中和店B2-男廁,新北市中和區福善里中山路2段228號,潤泰全球股份有限公司,25.00288100,121.49920700,特優級,商業營業場所,男廁所,潤泰全球股份有限公司中和分公司,0
65000,65000030,安樂里,F030000334,八二三紀念公園西南側(公四)-女廁,新北市中和區安樂里中安街派出所後,新北市中和區公所,24.99985500,121.51140000,特優級,公園,女廁所,新北市中和區公所經建課,0
65000,65000030,中安里,F030000336,捷運永安市場站-女廁,新北市中和區中安里中安街388號,臺北大眾捷運股份有限公司,25.00222300,121.51067200,特優級,交通,女廁所,台北大眾捷運股份有限公司永安市場站,0
65000,65000030,積穗里,F030000678,北基中和加油站-男廁,新北市中和區積穗里中山路3段53號,北基國際股份有限公司,25.00560700,121.47679100,特優級,商業營業場所,男廁所,北基中和加油站,0
